ticker,company,country,industry
1,Commerzbank AG,Germany,Banks
2,E.ON SE,Germany,Utilities
3,Fresenius Medical Care AG,Germany,HealthCareEquipmentServices
4,McKesson Europe AG,Germany,HealthCareEquipmentServices
5,MAN SE,Germany,CapitalGoods
6,CECONOMY AG,Germany,HotelsRestaurantsConsumerServices
7,GEA Group AG,Germany,CapitalGoods
8,Puma SE,Germany,HotelsRestaurantsConsumerServices
9,RWE AG,Germany,Utilities
10,Siemens AG,Germany,CapitalGoods
11,Suedzucker AG,Germany,FoodBeverageTobacco
12,TUI AG,Germany,HotelsRestaurantsConsumerServices
13,Acciona SA,Spain,Utilities
14,Acerinox SA,Spain,Materials
15,ACS Actividades de Construccion y Servicios SA,Spain,CapitalGoods
16,Banco de Sabadell SA,Spain,Banks
17,Bankinter SA,Spain,Banks
18,Banco Bilbao Vizcaya Argentaria SA,Spain,Banks
19,Ebro Foods SA,Spain,FoodBeverageTobacco
20,Enagas SA,Spain,Utilities
21,Endesa SA,Spain,Utilities
22,Fomento de Construcciones y Contratas SA,Spain,CapitalGoods
23,Naturgy Energy Group SA,Spain,Utilities
24,Promotora de Informaciones SA,Spain,MediaEntertainment
25,Iberdrola SA,Spain,Utilities
26,Industria de Diseno Textil SA,Spain,HotelsRestaurantsConsumerServices
27,Indra Sistemas SA,Spain,SoftwareServices
28,Minor Hotels Europe & Americas SA,Spain,HotelsRestaurantsConsumerServices
29,Banco Santander SA,Spain,Banks
30,Sacyr SA,Spain,CapitalGoods
31,Zardoya Otis SA,Spain,CapitalGoods
32,Air Liquide SA,France,Materials
33,Societe BIC SA,France,CommercialProfessionalServices
34,Bouygues SA,France,CapitalGoods
35,Carrefour SA,France,HotelsRestaurantsConsumerServices
36,Caisse Regionale de Credit Agricole Mutuel de Paris et d'Ile-de-France,France,Banks
37,Danone SA,France,FoodBeverageTobacco
38,Dassault Systemes SE,France,SoftwareServices
39,Airbus SE,France,CapitalGoods
40,EssilorLuxottica SA,France,HealthCareEquipmentServices
41,Imerys SA,France,Materials
42,JCDecaux SE,France,MediaEntertainment
43,LVMH Moet Hennessy Louis Vuitton SE,France,HotelsRestaurantsConsumerServices
44,Quadient SA,France,TechnologyHardwareEquipment
45,Pernod Ricard SA,France,FoodBeverageTobacco
46,Kering SA,France,HotelsRestaurantsConsumerServices
47,Safran SA,France,CapitalGoods
48,Cie de Saint-Gobain SA,France,CapitalGoods
49,Societe Generale SA,France,Banks
50,Sodexo SA,France,HotelsRestaurantsConsumerServices
51,Television Francaise 1 SA,France,MediaEntertainment
52,Thales SA,France,CapitalGoods
53,Vantiva SA,France,TechnologyHardwareEquipment
54,Vinci SA,France,CapitalGoods
55,Veolia Environnement SA,France,Utilities
56,Aggreko PLC,UK,CommercialProfessionalServices
57,BAE Systems PLC,UK,CapitalGoods
58,Balfour Beatty PLC,UK,CapitalGoods
59,Barclays PLC,UK,Banks
60,Barratt Developments PLC,UK,HotelsRestaurantsConsumerServices
61,Bellway PLC,UK,HotelsRestaurantsConsumerServices
62,Bunzl PLC,UK,CapitalGoods
63,Capita PLC,UK,CommercialProfessionalServices
64,Centrica PLC,UK,Utilities
65,Close Brothers Group PLC,UK,Banks
66,De La Rue PLC,UK,CommercialProfessionalServices
67,Diageo PLC,UK,FoodBeverageTobacco
68,ITV PLC,UK,MediaEntertainment
69,Halma PLC,UK,TechnologyHardwareEquipment
70,HSBC Holdings PLC,UK,Banks
71,Kingfisher PLC,UK,HotelsRestaurantsConsumerServices
